StoreProductID|Stock|Price|Cost|DistributorID
13032699|270|229.3614|208.5104|9
13218168|263|413.6810|376.0736|9
13086541|11|21.0179|19.1072|9
13614084|93|1441.3291|1310.2992|9
13830037|28|553.6608|503.3280|9
13829790|28|162.8458|148.0416|9
13824826|752|101.0733|91.8848|9
13829538|1051|37.6992|34.2720|9
15439697|141|432.3827|393.0752|9
10922648|1384|13.4165|12.1968|9
12739994|135|178.2704|162.0640|9
12496661|255|19.4040|17.6400|9
13963447|41|61.1688|55.6080|9
14015850|63|29.6050|26.9136|9
14015810|146|46.0522|41.8656|9
14005084|12|269.3275|244.8432|9
14022584|74|3030.1286|2754.6624|9
14048668|15|20.5374|18.6704|9
14051362|69|20.7715|18.8832|9
14051365|17|8.1928|7.4480|9
14051323|24|4.7062|4.2784|9
10867756|15|6.3941|5.8128|9
14135240|10|1666.8714|1515.3376|9
14135244|28|2266.8800|2060.8000|9
14113311|34|134.1648|121.9680|9
14188777|10|3909.7520|3554.3200|9
14272903|37|29.3709|26.7008|9
14295841|157|876.3832|796.7120|9
14295965|1437|637.0179|579.1072|9
14295896|259|876.3832|796.7120|9
14295984|434|34.6069|31.4608|9
14295837|472|637.0179|579.1072|9
14296075|60|34.9642|31.7856|9
14295904|107|17.1248|15.5680|9
14295867|228|34.5453|31.4048|9
14295819|315|75.6571|68.7792|9
14422709|11|43.9454|39.9504|9
14418377|10|50.6229|46.0208|9
14430507|15|4.4352|4.0320|9
14435136|1204|477.4493|434.0448|9
14850404|18|483.4368|439.4880|9
14850346|1955|359.2019|326.5472|9
10928275|881|3.9917|3.6288|9
14135841|253|557.5539|506.8672|9
13317329|16|38.7464|35.2240|9
10808676|743|99.1144|90.1040|9
10737981|43|382.6469|347.8608|9
9280969|61|53.5304|48.6640|9
9801537|10|47.7154|43.3776|9
4454104|11|35.4446|32.2224|9
4454075|89|81.8294|74.3904|9
4454404|61|20.9686|19.0624|9
5564580|118|19.4779|17.7072|9
14290763|270|712.7120|647.9200|9
1766805|228|231.6776|210.6160|9
894421|4221|4.7678|4.3344|9
10991614|169|93.7306|85.2096|9
3392721|242|183.9253|167.2048|9
899106|50|11.5931|10.5392|9
10033773|32|244.0592|221.8720|9
1770970|524|17.1494|15.5904|9
898563|158|63.8176|58.0160|9
10862970|90|234.9670|213.6064|9
10903888|24|470.3899|427.6272|9
10789658|41|190.9846|173.6224|9
15157387|14|102.0219|92.7472|9
15157386|15|102.0219|92.7472|9
12375325|247|149.3554|135.7776|9
10937694|3131|144.3288|131.2080|9
13314066|66|1174.6750|1067.8864|9
13311932|2721|362.4667|329.5152|9
12900808|29|958.2126|871.1024|9
10955200|251|209.7726|190.7024|9
11002676|1195|184.5906|167.8096|9
13311316|136|1073.9837|976.3488|9
11076548|213|10.0654|9.1504|9
13306387|4263|318.8416|289.8560|9
13628850|18|95.6525|86.9568|9
13309545|225|369.1688|335.6080|9
14137408|10|4328.6690|3935.1536|9
15433799|18|1578.2782|1434.7984|9
15433331|197|243.7512|221.5920|9
10000069|19|1444.0765|1312.7968|10
10995240|345|8.9813|8.1648|10
14104035|14|116.0790|105.5264|10
13830985|284|10.7923|9.8112|10
13831505|287|10.7923|9.8112|10
13834772|13|1030.1368|936.4880|10
13832779|11|140.0045|127.2768|10
13831899|12|3146.6142|2860.5584|10
10815035|35|18.7387|17.0352|10
13905836|50|29.3339|26.6672|10
12646170|371|7.3550|6.6864|10
13910890|113|53.2963|48.4512|10
13910891|108|53.2963|48.4512|10
13617255|21|1159.4475|1054.0432|10
13976711|10|58.1750|52.8864|10
13955627|18|37.8470|34.4064|10
14021093|16|378.4088|344.0080|10
14027566|53|598.9122|544.4656|10
12324411|118|59.5795|54.1632|10
14050184|256|30.4304|27.6640|10
14050185|74|9.9669|9.0608|10
14050183|229|14.4021|13.0928|10
11591766|20|31.9211|29.0192|10
14061186|174|51.7563|47.0512|10
14061945|12|979.2429|890.2208|10
14084414|38|1447.7355|1316.1232|10
14083819|44|3106.2909|2823.9008|10
10792402|17|154.8131|140.7392|10
14098840|23|33.5843|30.5312|10
14097269|36|117.2864|106.6240|10
14003515|47|20.5128|18.6480|10
13827697|345|427.6272|388.7520|10
14097113|1930|108.5515|98.6832|10
14107611|44|20.3403|18.4912|10
14107905|47|20.3403|18.4912|10
14107910|49|23.2478|21.1344|10
14035545|46|19.3794|17.6176|10
14121332|20|155.0349|140.9408|10
14121331|20|155.0349|140.9408|10
14121330|12|289.9142|263.5584|10
14123872|12|289.9142|263.5584|10
14023864|59|380.9960|346.3600|10
14125542|11|920.6243|836.9312|10
14139983|70|36.2331|32.9392|10
14161563|634|22.1514|20.1376|10
14098712|15|22.3978|20.3616|10
14161562|19|22.3978|20.3616|10
14161709|11|22.1514|20.1376|10
14177770|15|5573.9869|5067.2608|10
11989792|296|185.8349|168.9408|10
11989790|248|225.4437|204.9488|10
10560858|77|1109.6994|1008.8176|10
12491421|516|128.2142|116.5584|10
14258542|64|242.6424|220.5840|10
14295895|1456|422.0339|383.6672|10
14295923|1907|422.0339|383.6672|10
14296195|342|782.1229|711.0208|10
5170992|54|29.9130|27.1936|10
14397612|11|167.0346|151.8496|10
14211945|15|138.6616|126.0560|10
14016009|40|500.1304|454.6640|10
14426958|12|87.9771|79.9792|10
14429748|496|12.0366|10.9424|10
13297529|13|32.8451|29.8592|9
13302106|18|41.9866|38.1696|9
13621729|16|6.4187|5.8352|9
13614008|842|382.4990|347.7264|9
13625492|44|23.3834|21.2576|9
13623526|294|16.7922|15.2656|9
13620780|23|37.6992|34.2720|9
11016002|793|21.5970|19.6336|9
13005390|357|823.1978|748.3616|9
13829942|17|303.9714|276.3376|9
13830320|17|162.8458|148.0416|9
13825377|438|538.8152|489.8320|9
13339372|58|408.1370|371.0336|9
13826087|1075|556.5437|505.9488|9
11588978|13|111.5330|101.3936|9
13962056|50|317.9299|289.0272|9
13620515|75|23.9131|21.7392|9
14015809|232|29.6050|26.9136|9
14015800|189|41.1242|37.3856|9
14020913|244|34.5206|31.3824|9
14015847|280|41.1242|37.3856|9
14005363|12|231.0123|210.0112|9
14053487|23|29.5680|26.8800|9
14062543|16|21.5600|19.6000|9
14082727|12|134.6083|122.3712|9
14135241|18|1608.3390|1462.1264|9
14177551|201|730.5637|664.1488|9
14113270|39|574.9744|522.7040|9
12179382|14|5227.8688|4752.6080|9
11948432|138|599.7253|545.2048|9
14273206|16|19.2931|17.5392|9
14263341|46|29.3709|26.7008|9
14295926|2586|637.0179|579.1072|9
14295840|323|770.0123|700.0112|9
14295865|1332|637.0179|579.1072|9
14295003|20|1445.7027|1314.2752|9
14295971|246|637.0179|579.1072|9
14295863|557|530.6224|482.3840|9
14295894|169|34.5453|31.4048|9
14295925|151|75.6571|68.7792|9
14295924|246|34.5453|31.4048|9
14295893|142|34.5453|31.4048|9
14430391|49|1565.3792|1423.0720|9
12550240|2696|182.7426|166.1296|9
14812912|13|168.7101|153.3728|9
14290766|69|14.9565|13.5968|9
13638403|50|28.7549|26.1408|9
14879582|969|1.8234|1.6576|9
13939650|186|524.6595|476.9632|9
4453589|10|35.1366|31.9424|9
5564607|51|31.4776|28.6160|9
4454016|15|79.7350|72.4864|9
4454125|10|31.4776|28.6160|9
4453979|17|24.9726|22.7024|9
4454148|22|25.1698|22.8816|9
1529311|86|66.3802|60.3456|9
7281240|30|244.2070|222.0064|9
10996315|24|123.0768|111.8880|9
1637102|22|3.4003|3.0912|9
8558205|216|394.3016|358.4560|9
12413029|20|47.6168|43.2880|9
10858929|144|264.1531|240.1392|9
10857299|50|237.7390|216.1264|9
10857301|337|180.9315|164.4832|9
1081356|124|146.7928|133.4480|9
12060950|34|100.7776|91.6160|9
4743684|46|154.4189|140.3808|9
10797376|55|261.7384|237.9440|9
11063346|92|127.7461|116.1328|9
10862656|22|136.7397|124.3088|9
12413147|92|22.0405|20.0368|9
15147625|309|56.0560|50.9600|9
15305565|19|1555.2768|1413.8880|9
12284899|533|25.1698|22.8816|9
13306364|826|630.9811|573.6192|9
13306386|2253|528.6019|480.5472|9
12375304|72|590.7070|537.0064|9
13318483|143|1929.8294|1754.3904|9
12789583|71|48.6640|44.2400|9
13326064|274|2038.9107|1853.5552|9
13316158|3356|510.1466|463.7696|9
14177988|852|629.3056|572.0960|9
10899498|14|58.7294|53.3904|9
13308903|140|939.7450|854.3136|9
15396651|237|866.7613|787.9648|9
15397172|29|228.7824|207.9840|9
15397725|39|64.1379|58.3072|9
11084219|14|557.2090|506.5536|9
15446143|55|373.6656|339.6960|9
13939173|877|409.4552|372.2320|9
12546460|24|22.3731|20.3392|9
15599930|10|7150.9592|6500.8720|9
9995788|224|13.4904|12.2640|10
9969536|10|22.0774|20.0704|10
9921069|35|31.7240|28.8400|10
9976661|16|31.7240|28.8400|10
9941562|15|146.8667|133.5152|10
9943226|10|62.9182|57.1984|10
9924544|11|43.7976|39.8160|10
9962863|47|9.6219|8.7472|10
9951043|11|442.4235|402.2032|10
13828626|39|512.8816|466.2560|10
13834585|13|6.7021|6.0928|10
13832631|20|3020.0386|2745.4896|10
11739980|328|20.4389|18.5808|10
11739982|304|20.4389|18.5808|10
13916428|41|18.5416|16.8560|10
12184922|964|20.4389|18.5808|10
12326054|25|18.5416|16.8560|10
12326049|81|29.3339|26.6672|10
13914941|20|319.0634|290.0576|10
